CRRES EMIC wave events, their positions, and magnetospheric conditions
Data:
          orbit           year        yearday           xpos           ypos           zpos             ls            mlt           mlat     phase
            115           1990    254.2798615   5575.1235352  38185.1835938  10262.2089844      7.1027360      6.3656321     19.7332401     quiet
            115           1990    254.2805481   5475.7148438  38197.8593750  10281.2265625      7.1066799      6.3757000     19.7772999     quiet
            115           1990    254.2868042   4573.2421875  38255.9804688  10437.2880859      7.1358581      6.4662142     20.1664810     quiet
            115           1990    254.2875061   4472.6557617  38260.0468750  10453.9785156      7.1388898      6.4762702     20.2094002     quiet
            115           1990    254.2881927   4371.5649414  38259.7929688  10469.4902344      7.1412678      6.4863300     20.2517395     quiet
            115           1990    254.2888947   4270.4741211  38259.5390625  10485.0019531      7.1436458      6.4963899     20.2940807     quiet
            115           1990    254.2895813   4169.3833008  38259.2890625  10500.5126953      7.1460242      6.5064502     20.3364201     quiet
            115           1990    254.2965240   3153.7080078  38209.1093750  10642.4814453      7.1641660      6.6072121     20.7532215     quiet
            115           1990    254.2972260   3051.7756348  38200.1835938  10655.5976562      7.1655879      6.6173058     20.7943611     quiet
            115           1990    254.2979126   2949.8435059  38191.2617188  10668.7128906      7.1670098      6.6273999     20.8355007     quiet
            115           1990    254.2986145   2847.5749512  38177.9804688  10680.6113281      7.1677499      6.6375241     20.8760414     quiet
            115           1990    254.2993011   2745.3061523  38164.6992188  10692.5087891      7.1684899      6.6476479     20.9165802     quiet
            115           1990    254.3111115   1000.1581421  37820.2968750  10861.2421875      7.1661301      6.8209443     21.5886803     quiet
            115           1990    254.3117981    897.2223511  37793.8085938  10869.3964844      7.1651502      6.8312101     21.6273003     quiet
            115           1990    254.3125000    794.1809692  37762.8632812  10876.2695312      7.1635461      6.8415442     21.6652794     quiet
            115           1990    254.3173676     72.7499084  37532.7968750  10920.4804688      7.1504459      6.9141102     21.9290390     quiet
            115           1990    254.3180542    -30.3386536  37497.3671875  10926.0537109      7.1482177      6.9245200     21.9663200     quiet
            115           1990    254.3187561   -133.4272003  37461.9375000  10931.6269531      7.1459899      6.9349298     22.0035992     quiet
            115           1990    254.3194427   -236.4979248  37421.9843750  10935.8798828      7.1432619      6.9454279     22.0401802     quiet
            115           1990    254.3208313   -442.6393433  37342.0781250  10944.3867188      7.1378059      6.9664240     22.1133404     quiet
            115           1990    254.3215332   -545.7100830  37302.1250000  10948.6396484      7.1350780      6.9769220     22.1499195     quiet
            115           1990    254.3222198   -648.7807617  37262.1718750  10952.8925781      7.1323500      6.9874201     22.1865005     quiet
            115           1990    254.3249969  -1060.7359619  37084.1132812  10964.5400391      7.1184063      7.0298042     22.3298607     quiet
            115           1990    254.3256989  -1163.7247314  37039.5976562  10967.4521484      7.1149201      7.0404000     22.3656998     quiet
            115           1990    254.3263855  -1266.5701904  36990.4804688  10969.0009766      7.1107540      7.0511079     22.4008007     quiet
            115           1990    254.3270874  -1369.4156494  36941.3593750  10970.5498047      7.1065879      7.0618157     22.4358997     quiet
            115           1990    254.3333282  -2293.4785156  36466.6796875  10974.7519531      7.0642438      7.1590438     22.7463188     quiet
            115           1990    254.3340302  -2395.8271484  36408.2109375  10973.5000000      7.0586777      7.1700077     22.7798386     quiet
            115           1990    254.3347168  -2498.1760254  36349.7382812  10972.2490234      7.0531120      7.1809721     22.8133602     quiet
            118           1990    255.4347229  15078.5439453  31506.0136719   6932.8696289      6.7298942      4.8493161     21.7529793     quiet
            118           1990    255.4354095  15008.9804688  31617.0800781   6975.9223633      6.7474160      4.8606539     21.7958202     quiet
